"","result_cv_platt","intervalo_inf","intervalo_sup"
"103",0.990427657332796,0.985221906340769,0.995633408324823
"104",0.989988688637151,0.984782937645124,0.995194439629178
"105",0.342273147444213,0.337067396452186,0.34747889843624
"106",0.97934859778984,0.974142846797813,0.984554348781867
"107",0.844127843927397,0.83892209293537,0.849333594919425
"108",0.898454460535867,0.89324870954384,0.903660211527895
"109",0.959483802260166,0.954278051268139,0.964689553252193
"110",0.898454460535867,0.89324870954384,0.903660211527895
"111",0.986481274344982,0.981275523352955,0.991687025337009
"112",0.394946865059846,0.389741114067819,0.400152616051873
"113",0.991207618356989,0.986001867364962,0.996413369349017
"114",0.488838313024648,0.483632562032621,0.494044064016675
"115",0.981151140444513,0.975945389452485,0.98635689143654
"116",0.991223685182453,0.986017934190426,0.99642943617448
"117",0.982785681811469,0.977579930819442,0.987991432803496
